Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 27.05.1994,20:00,Fortuna Köln,0:1,Bayer 05
Sa. 28.05.1994,14:30,RW Essen,4:6,TeBe Berlin
Sa. 28.05.1994,15:30,VfL Wolfsburg,0:1,VfL Bochum
Sa. 28.05.1994,15:30,Carl Zeiss Jena,0:0,Stuttg. Kickers
Sa. 28.05.1994,15:30,Chemnitzer FC,3:1,Saarbrücken
Sa. 28.05.1994,15:30,SV Meppen,4:1,Hannover 96
Sa. 28.05.1994,15:30,Hertha BSC,2:1,FC St. Pauli
Sa. 28.05.1994,15:30,W. Mannheim,2:0,Wuppertaler SV
So. 29.05.1994,15:00,Hansa Rostock,2:3,1.FSV Mainz 05
Mo. 30.05.1994,20:00,FC 08 Homburg,0:0,1860 München
