Datum,Uhrzeit,Heim,Ergebnis,Gast
Do. 02.09.1993,20:00,TeBe Berlin,0:0,FC St. Pauli
Fr. 03.09.1993,18:00,Carl Zeiss Jena,2:1,FC 08 Homburg
Fr. 03.09.1993,19:00,Chemnitzer FC,1:1,VfL Wolfsburg
Sa. 04.09.1993,15:30,Hansa Rostock,2:2,Hertha BSC
Sa. 04.09.1993,15:30,Saarbrücken,0:2,1860 München
Sa. 04.09.1993,15:30,RW Essen,3:0,Fortuna Köln
So. 05.09.1993,15:00,Stuttg. Kickers,0:2,Bayer 05
So. 05.09.1993,15:00,SV Meppen,1:0,W. Mannheim
So. 05.09.1993,15:00,Hannover 96,0:0,VfL Bochum
Di. 07.09.1993,18:00,1.FSV Mainz 05,1:1,Wuppertaler SV
