Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 06.08.1993,18:00,Carl Zeiss Jena,2:2,W. Mannheim
Fr. 06.08.1993,19:00,TeBe Berlin,0:4,Saarbrücken
Fr. 06.08.1993,19:00,Chemnitzer FC,1:4,Bayer 05
Sa. 07.08.1993,15:30,Stuttg. Kickers,0:2,1860 München
Sa. 07.08.1993,15:30,Hansa Rostock,0:1,Wuppertaler SV
Sa. 07.08.1993,15:30,FC 08 Homburg,1:2,Fortuna Köln
Sa. 07.08.1993,15:30,1.FSV Mainz 05,1:0,Hannover 96
So. 08.08.1993,15:00,RW Essen,0:2,VfL Bochum
So. 08.08.1993,15:00,SV Meppen,1:1,FC St. Pauli
So. 08.08.1993,15:00,VfL Wolfsburg,1:0,Hertha BSC
