Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 25.02.1994,19:30,W. Mannheim,2:2,Hertha BSC
Sa. 26.02.1994,15:00,Stuttg. Kickers,2:2,Saarbrücken
Sa. 26.02.1994,15:30,TeBe Berlin,1:2,Hannover 96
So. 27.02.1994,14:30,FC 08 Homburg,0:1,Bayer 05
So. 27.02.1994,15:00,Hansa Rostock,2:1,VfL Bochum
Di. 01.03.1994,20:00,Chemnitzer FC,0:0,FC St. Pauli
Di. 08.03.1994,18:00,Carl Zeiss Jena,2:0,1.FSV Mainz 05
Di. 19.04.1994,18:00,VfL Wolfsburg,2:1,Fortuna Köln
Di. 19.04.1994,19:30,RW Essen,1:4,1860 München
Mi. 11.05.1994,18:30,SV Meppen,2:1,Wuppertaler SV
