Datum,Uhrzeit,Heim,Ergebnis,Gast
Di. 05.04.1994,17:45,1.FSV Mainz 05,0:1,FC St. Pauli
Di. 05.04.1994,17:45,SV Meppen,2:1,VfL Wolfsburg
Di. 05.04.1994,19:00,Carl Zeiss Jena,1:1,1860 München
Di. 05.04.1994,19:30,TeBe Berlin,1:1,Bayer 05
Mi. 06.04.1994,17:45,Stuttg. Kickers,0:0,Fortuna Köln
Mi. 06.04.1994,19:00,Chemnitzer FC,2:1,FC 08 Homburg
Mi. 06.04.1994,19:30,RW Essen,2:0,Hertha BSC
Mi. 06.04.1994,19:30,Hansa Rostock,1:0,W. Mannheim
Mi. 06.04.1994,19:30,Saarbrücken,0:1,VfL Bochum
Mi. 06.04.1994,20:00,Hannover 96,2:0,Wuppertaler SV
