Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 24.09.1993,19:30,Saarbrücken,1:0,Wuppertaler SV
Sa. 25.09.1993,15:30,Stuttg. Kickers,1:1,Hertha BSC
Sa. 25.09.1993,15:30,Hansa Rostock,2:0,VfL Wolfsburg
Sa. 25.09.1993,15:30,1860 München,4:1,VfL Bochum
Sa. 25.09.1993,15:30,Hannover 96,4:1,FC St. Pauli
So. 26.09.1993,15:00,TeBe Berlin,0:1,Fortuna Köln
So. 26.09.1993,15:00,SV Meppen,2:1,FC 08 Homburg
So. 26.09.1993,15:00,Carl Zeiss Jena,0:2,Chemnitzer FC
Mi. 10.11.1993,19:30,RW Essen,2:0,W. Mannheim
Mi. 17.11.1993,14:00,1.FSV Mainz 05,1:1,Bayer 05
