Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 03.12.1993,20:00,FC St. Pauli,1:0,VfL Wolfsburg
Fr. 03.12.1993,20:00,Bayer 05,1:2,W. Mannheim
Sa. 04.12.1993,14:00,1.FSV Mainz 05,4:0,Stuttg. Kickers
Sa. 04.12.1993,15:30,TeBe Berlin,0:0,Carl Zeiss Jena
So. 05.12.1993,15:00,VfL Bochum,3:2,Chemnitzer FC
So. 05.12.1993,15:00,1860 München,1:2,SV Meppen
So. 05.12.1993,15:00,Saarbrücken,4:0,Hansa Rostock
So. 05.12.1993,18:00,Wuppertaler SV,1:1,FC 08 Homburg
Di. 07.12.1993,20:00,Hannover 96,2:0,RW Essen
Sa. 11.12.1993,15:30,Fortuna Köln,1:3,Hertha BSC
