Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 29.04.1994,19:30,RW Essen,0:1,Chemnitzer FC
Fr. 29.04.1994,20:00,1860 München,0:0,Bayer 05
Fr. 29.04.1994,20:00,VfL Bochum,1:1,FC St. Pauli
Sa. 30.04.1994,15:30,Carl Zeiss Jena,2:1,Wuppertaler SV
Sa. 30.04.1994,15:30,Stuttg. Kickers,2:3,FC 08 Homburg
Sa. 30.04.1994,15:30,Hannover 96,0:2,Hertha BSC
Sa. 30.04.1994,15:30,Saarbrücken,4:1,Fortuna Köln
Sa. 30.04.1994,15:30,Hansa Rostock,1:1,SV Meppen
Sa. 30.04.1994,15:30,TeBe Berlin,3:2,VfL Wolfsburg
So. 01.05.1994,15:00,1.FSV Mainz 05,2:1,W. Mannheim
