Datum,Uhrzeit,Heim,Ergebnis,Gast
Do. 31.03.1994,20:00,1860 München,2:0,Saarbrücken
Sa. 02.04.1994,15:30,FC St. Pauli,2:1,TeBe Berlin
Sa. 02.04.1994,15:30,FC 08 Homburg,2:1,Carl Zeiss Jena
Sa. 02.04.1994,15:30,VfL Wolfsburg,2:0,Chemnitzer FC
Sa. 02.04.1994,15:30,Hertha BSC,0:1,Hansa Rostock
Sa. 02.04.1994,15:30,Fortuna Köln,0:1,RW Essen
Sa. 02.04.1994,15:30,Bayer 05,1:1,Stuttg. Kickers
Sa. 02.04.1994,15:30,W. Mannheim,2:1,SV Meppen
Sa. 02.04.1994,15:30,Wuppertaler SV,1:3,1.FSV Mainz 05
So. 03.04.1994,15:00,VfL Bochum,2:2,Hannover 96
