Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 19.11.1993,20:00,VfL Bochum,2:0,VfL Wolfsburg
Sa. 20.11.1993,14:15,Stuttg. Kickers,0:2,Carl Zeiss Jena
Sa. 20.11.1993,15:30,Saarbrücken,1:0,Chemnitzer FC
Sa. 20.11.1993,15:30,Hannover 96,1:1,SV Meppen
Sa. 20.11.1993,15:30,Bayer 05,0:2,Fortuna Köln
Sa. 20.11.1993,15:30,1860 München,1:0,FC 08 Homburg
So. 21.11.1993,14:15,1.FSV Mainz 05,3:1,Hansa Rostock
So. 21.11.1993,15:00,TeBe Berlin,2:2,RW Essen
So. 21.11.1993,15:00,FC St. Pauli,1:0,Hertha BSC
So. 21.11.1993,18:00,Wuppertaler SV,1:1,W. Mannheim
