Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 08.04.1994,20:00,Bayer 05,3:0,1.FSV Mainz 05
Sa. 09.04.1994,15:00,Fortuna Köln,3:1,TeBe Berlin
Sa. 09.04.1994,15:30,Wuppertaler SV,4:0,Saarbrücken
Sa. 09.04.1994,15:30,Hertha BSC,0:0,Stuttg. Kickers
Sa. 09.04.1994,15:30,FC 08 Homburg,5:0,SV Meppen
Sa. 09.04.1994,15:30,W. Mannheim,2:2,RW Essen
So. 10.04.1994,15:00,VfL Wolfsburg,1:1,Hansa Rostock
So. 10.04.1994,15:00,FC St. Pauli,2:1,Hannover 96
So. 10.04.1994,15:00,Chemnitzer FC,0:0,Carl Zeiss Jena
So. 10.04.1994,17:45,VfL Bochum,2:0,1860 München
