Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 18.02.1994,19:30,Saarbrücken,3:1,RW Essen
Fr. 18.02.1994,20:00,FC St. Pauli,3:0,FC 08 Homburg
Sa. 19.02.1994,15:00,1.FSV Mainz 05,1:4,TeBe Berlin
Sa. 19.02.1994,15:30,Hertha BSC,0:0,Carl Zeiss Jena
Sa. 19.02.1994,15:30,Hannover 96,1:0,Stuttg. Kickers
Sa. 19.02.1994,15:30,VfL Bochum,4:0,SV Meppen
So. 20.02.1994,15:00,Fortuna Köln,0:0,W. Mannheim
So. 20.02.1994,15:00,Bayer 05,0:0,VfL Wolfsburg
Do. 24.02.1994,20:00,1860 München,1:2,Hansa Rostock
Di. 22.03.1994,19:30,Wuppertaler SV,2:2,Chemnitzer FC
