Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 13.08.1993,20:00,VfL Bochum,3:1,Stuttg. Kickers
Fr. 13.08.1993,20:00,1860 München,2:1,TeBe Berlin
Sa. 14.08.1993,15:30,Fortuna Köln,0:1,Chemnitzer FC
Sa. 14.08.1993,15:30,Wuppertaler SV,0:0,RW Essen
Sa. 14.08.1993,15:30,Hannover 96,1:0,Carl Zeiss Jena
Sa. 14.08.1993,15:30,W. Mannheim,1:1,VfL Wolfsburg
So. 15.08.1993,15:00,FC St. Pauli,2:4,Hansa Rostock
So. 15.08.1993,15:00,Saarbrücken,2:0,1.FSV Mainz 05
So. 15.08.1993,15:00,Bayer 05,1:0,SV Meppen
Di. 17.08.1993,19:30,Hertha BSC,1:0,FC 08 Homburg
