Datum,Uhrzeit,Heim,Ergebnis,Gast
Di. 24.05.1994,19:00,Carl Zeiss Jena,0:2,Bayer 05
Di. 24.05.1994,19:30,Saarbrücken,0:0,FC 08 Homburg
Di. 24.05.1994,20:00,FC St. Pauli,3:2,Fortuna Köln
Di. 24.05.1994,20:00,1860 München,4:0,VfL Wolfsburg
Di. 24.05.1994,20:00,Hannover 96,0:0,Chemnitzer FC
Di. 24.05.1994,20:00,VfL Bochum,0:1,W. Mannheim
Mi. 25.05.1994,18:30,1.FSV Mainz 05,3:0,SV Meppen
Mi. 25.05.1994,18:30,Stuttg. Kickers,4:2,RW Essen
Mi. 25.05.1994,19:30,Wuppertaler SV,1:2,Hertha BSC
Mi. 25.05.1994,19:30,TeBe Berlin,0:0,Hansa Rostock
