Datum,Uhrzeit,Heim,Ergebnis,Gast
Do. 19.05.1994,20:00,FC 08 Homburg,2:0,Hannover 96
Fr. 20.05.1994,18:30,SV Meppen,2:1,TeBe Berlin
Fr. 20.05.1994,19:30,W. Mannheim,1:1,1860 München
Fr. 20.05.1994,20:00,Bayer 05,3:0,FC St. Pauli
Sa. 21.05.1994,15:30,Chemnitzer FC,0:0,1.FSV Mainz 05
Sa. 21.05.1994,15:30,Fortuna Köln,3:0,Wuppertaler SV
Sa. 21.05.1994,15:30,VfL Wolfsburg,3:1,Saarbrücken
Sa. 21.05.1994,15:30,Hansa Rostock,2:0,Stuttg. Kickers
Sa. 21.05.1994,15:30,RW Essen,0:5,Carl Zeiss Jena
Sa. 21.05.1994,15:30,Hertha BSC,1:1,VfL Bochum
