Datum,Uhrzeit,Heim,Ergebnis,Gast
Mo. 20.07.1987,19:30,SSV Ulm 1846,2:4,BW Berlin
Mi. 22.07.1987,19:30,RW Essen,1:1,F. Düsseldorf
Mi. 22.07.1987,19:30,Fortuna Köln,2:1,BVL Remscheid
Mi. 22.07.1987,19:30,K. Offenbach,3:0,SV Meppen
Mi. 22.07.1987,19:30,Alem. Aachen,3:0,Arm. Bielefeld
Mi. 22.07.1987,19:30,SpVgg Bayreuth,0:0,Wattenscheid 09
Mi. 22.07.1987,19:30,Saarbrücken,0:2,Darmstadt 98
Mi. 22.07.1987,19:30,VfL Osnabrück,1:1,Stuttg. Kickers
Mi. 22.07.1987,19:30,Union Solingen,0:3,FC St. Pauli
Mi. 22.07.1987,19:30,SC Freiburg,2:1,RW Oberhausen
