Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 11.09.1987,15:00,Wattenscheid 09,1:0,SC Freiburg
Fr. 11.09.1987,15:00,VfL Osnabrück,1:1,Alem. Aachen
Sa. 12.09.1987,15:00,Darmstadt 98,5:0,Arm. Bielefeld
Sa. 12.09.1987,15:00,SSV Ulm 1846,3:1,Fortuna Köln
So. 13.09.1987,15:00,Stuttg. Kickers,6:3,SV Meppen
So. 13.09.1987,15:00,FC St. Pauli,0:0,BVL Remscheid
So. 13.09.1987,15:00,Saarbrücken,2:2,SpVgg Bayreuth
So. 13.09.1987,15:00,Union Solingen,1:0,K. Offenbach
So. 13.09.1987,15:00,RW Oberhausen,3:1,RW Essen
Di. 15.09.1987,20:00,BW Berlin,1:1,F. Düsseldorf
