Datum,Uhrzeit,Heim,Ergebnis,Gast
Di. 24.05.1988,19:15,F. Düsseldorf,0:1,K. Offenbach
Di. 24.05.1988,19:15,Arm. Bielefeld,1:1,Saarbrücken
Di. 24.05.1988,19:15,FC St. Pauli,2:0,RW Oberhausen
Di. 24.05.1988,19:15,RW Essen,1:0,Fortuna Köln
Di. 24.05.1988,19:15,BVL Remscheid,1:3,Alem. Aachen
Di. 24.05.1988,19:15,SV Meppen,0:2,SpVgg Bayreuth
Di. 24.05.1988,19:15,Stuttg. Kickers,1:3,SSV Ulm 1846
Di. 24.05.1988,19:15,Wattenscheid 09,2:0,VfL Osnabrück
Di. 24.05.1988,19:15,Darmstadt 98,3:1,Union Solingen
Di. 24.05.1988,19:15,BW Berlin,3:1,SC Freiburg
