Datum,Uhrzeit,Heim,Ergebnis,Gast
Sa. 07.05.1988,15:30,SSV Ulm 1846,3:1,Arm. Bielefeld
Sa. 07.05.1988,15:30,Saarbrücken,1:2,F. Düsseldorf
Sa. 07.05.1988,15:30,Union Solingen,2:1,SV Meppen
Sa. 07.05.1988,15:30,SpVgg Bayreuth,3:2,RW Essen
Sa. 07.05.1988,15:30,Alem. Aachen,2:0,Fortuna Köln
Sa. 07.05.1988,15:30,K. Offenbach,1:1,SC Freiburg
Sa. 07.05.1988,15:30,VfL Osnabrück,1:0,BVL Remscheid
So. 08.05.1988,15:00,FC St. Pauli,0:2,Stuttg. Kickers
So. 08.05.1988,18:00,BW Berlin,2:0,Darmstadt 98
Di. 10.05.1988,20:00,RW Oberhausen,0:1,Wattenscheid 09
