Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 06.11.1987,19:30,Darmstadt 98,1:0,SSV Ulm 1846
Fr. 06.11.1987,19:30,F. Düsseldorf,3:0,Alem. Aachen
Fr. 06.11.1987,19:30,RW Essen,1:3,K. Offenbach
Sa. 07.11.1987,15:00,Stuttg. Kickers,2:1,RW Oberhausen
Sa. 07.11.1987,15:00,Wattenscheid 09,2:1,Union Solingen
Sa. 07.11.1987,15:00,Fortuna Köln,3:1,SC Freiburg
So. 08.11.1987,15:00,FC St. Pauli,1:0,BW Berlin
So. 08.11.1987,15:00,Arm. Bielefeld,0:0,VfL Osnabrück
So. 08.11.1987,15:00,SV Meppen,1:0,Saarbrücken
So. 08.11.1987,15:00,BVL Remscheid,5:2,SpVgg Bayreuth
