Datum,Uhrzeit,Heim,Ergebnis,Gast
Sa. 27.02.1988,15:30,Fortuna Köln,1:2,Wattenscheid 09
Sa. 27.02.1988,15:30,Alem. Aachen,1:0,Stuttg. Kickers
Sa. 27.02.1988,15:30,F. Düsseldorf,3:1,SV Meppen
So. 28.02.1988,15:00,RW Essen,1:1,Arm. Bielefeld
So. 28.02.1988,15:00,Saarbrücken,4:2,BW Berlin
Mi. 30.03.1988,20:00,K. Offenbach,1:1,Darmstadt 98
Mi. 30.03.1988,20:00,Union Solingen,2:2,SSV Ulm 1846
Mo. 04.04.1988,15:00,VfL Osnabrück,1:2,RW Oberhausen
Mi. 13.04.1988,18:00,SpVgg Bayreuth,1:3,FC St. Pauli
Di. 19.04.1988,18:15,SC Freiburg,3:0,BVL Remscheid
