Datum,Uhrzeit,Heim,Ergebnis,Gast
Di. 22.03.1988,20:00,Alem. Aachen,5:0,SSV Ulm 1846
Mi. 23.03.1988,19:00,Saarbrücken,2:3,VfL Osnabrück
Mi. 23.03.1988,20:00,Fortuna Köln,3:2,BW Berlin
Mi. 23.03.1988,20:00,RW Essen,2:2,FC St. Pauli
Mi. 23.03.1988,20:00,F. Düsseldorf,4:0,Stuttg. Kickers
Mi. 23.03.1988,20:00,K. Offenbach,3:1,RW Oberhausen
Mo. 04.04.1988,15:00,SpVgg Bayreuth,4:1,Union Solingen
Mo. 04.04.1988,15:00,BVL Remscheid,3:0,Darmstadt 98
Mo. 04.04.1988,15:00,SV Meppen,2:1,Wattenscheid 09
Mo. 04.04.1988,15:00,SC Freiburg,3:0,Arm. Bielefeld
