Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 09.10.1987,19:30,Alem. Aachen,0:2,K. Offenbach
Fr. 09.10.1987,19:30,VfL Osnabrück,3:2,F. Düsseldorf
Sa. 10.10.1987,15:00,BW Berlin,3:1,Wattenscheid 09
Sa. 10.10.1987,15:00,FC St. Pauli,3:2,Darmstadt 98
Sa. 10.10.1987,15:00,Stuttg. Kickers,4:2,SC Freiburg
Sa. 10.10.1987,15:00,SpVgg Bayreuth,2:0,Fortuna Köln
Sa. 10.10.1987,15:00,Saarbrücken,1:1,RW Essen
Sa. 10.10.1987,15:00,SSV Ulm 1846,2:1,SV Meppen
So. 11.10.1987,15:00,Union Solingen,1:2,BVL Remscheid
So. 11.10.1987,15:00,RW Oberhausen,2:2,Arm. Bielefeld
