Datum,Uhrzeit,Heim,Ergebnis,Gast
So. 29.05.1988,15:00,RW Oberhausen,3:0,BW Berlin
So. 29.05.1988,15:00,Union Solingen,2:2,Stuttg. Kickers
So. 29.05.1988,15:00,Saarbrücken,1:1,Wattenscheid 09
So. 29.05.1988,15:00,SpVgg Bayreuth,2:0,Arm. Bielefeld
So. 29.05.1988,15:00,K. Offenbach,1:2,BVL Remscheid
So. 29.05.1988,15:00,Fortuna Köln,0:2,F. Düsseldorf
So. 29.05.1988,15:00,SC Freiburg,3:0,RW Essen
So. 29.05.1988,15:00,SSV Ulm 1846,0:1,FC St. Pauli
So. 29.05.1988,15:00,VfL Osnabrück,1:2,Darmstadt 98
So. 29.05.1988,15:00,Alem. Aachen,4:1,SV Meppen
