Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 14.08.1987,19:30,Alem. Aachen,1:0,FC St. Pauli
Fr. 14.08.1987,19:30,Saarbrücken,1:0,RW Oberhausen
Fr. 14.08.1987,19:30,Fortuna Köln,1:0,Darmstadt 98
Sa. 15.08.1987,15:00,F. Düsseldorf,4:1,Arm. Bielefeld
Sa. 15.08.1987,15:00,RW Essen,2:1,Wattenscheid 09
Sa. 15.08.1987,15:00,SpVgg Bayreuth,0:0,BW Berlin
Sa. 15.08.1987,15:00,SC Freiburg,4:0,Union Solingen
So. 16.08.1987,15:00,BVL Remscheid,6:3,SV Meppen
So. 16.08.1987,15:00,K. Offenbach,1:1,Stuttg. Kickers
So. 16.08.1987,15:00,VfL Osnabrück,1:1,SSV Ulm 1846
