Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 03.04.1992,20:00,Dynamo Dresden,2:0,Karlsruher SC
Fr. 03.04.1992,20:00,VfL Bochum,2:1,MSV Duisburg
Fr. 03.04.1992,20:00,1.FC Nürnberg,2:1,Bor. Dortmund
Sa. 04.04.1992,15:30,E. Frankfurt,1:1,VfB Stuttgart
Sa. 04.04.1992,15:30,1.FC Köln,1:1,B. Leverkusen
Sa. 04.04.1992,15:30,1.FC K'lautern,3:2,Wattenscheid 09
Sa. 04.04.1992,15:30,FC Schalke 04,0:0,Werder Bremen
Sa. 04.04.1992,15:30,Stuttg. Kickers,2:4,Bayern München
Sa. 04.04.1992,15:30,Hamburger SV,1:0,Bor. M'gladbach
Sa. 04.04.1992,15:30,F. Düsseldorf,0:0,Hansa Rostock
