Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 11.10.1991,20:00,1.FC Nürnberg,4:3,VfB Stuttgart
Fr. 11.10.1991,20:00,E. Frankfurt,0:0,Bor. M'gladbach
Fr. 11.10.1991,20:00,VfL Bochum,1:3,Karlsruher SC
Sa. 12.10.1991,15:30,Bayern München,0:3,Bor. Dortmund
Sa. 12.10.1991,15:30,1.FC Köln,1:1,MSV Duisburg
Sa. 12.10.1991,15:30,1.FC K'lautern,2:1,B. Leverkusen
Sa. 12.10.1991,15:30,Dynamo Dresden,2:1,Werder Bremen
Sa. 12.10.1991,15:30,FC Schalke 04,5:0,Hansa Rostock
Sa. 12.10.1991,15:30,Hamburger SV,0:1,Wattenscheid 09
Sa. 12.10.1991,15:30,Stuttg. Kickers,0:1,F. Düsseldorf
