Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 15.11.1991,19:30,MSV Duisburg,1:1,Bayern München
Fr. 15.11.1991,20:00,Wattenscheid 09,1:3,VfB Stuttgart
Fr. 15.11.1991,20:00,Werder Bremen,1:0,E. Frankfurt
Sa. 16.11.1991,15:30,B. Leverkusen,0:2,Bor. Dortmund
Sa. 16.11.1991,15:30,FC Schalke 04,3:0,1.FC Köln
Sa. 16.11.1991,15:30,F. Düsseldorf,1:0,1.FC K'lautern
Sa. 16.11.1991,15:30,Karlsruher SC,1:0,1.FC Nürnberg
Sa. 16.11.1991,15:30,Hansa Rostock,1:2,Hamburger SV
Sa. 16.11.1991,15:30,Stuttg. Kickers,3:0,Bor. M'gladbach
Sa. 16.11.1991,15:30,Dynamo Dresden,0:0,VfL Bochum
