Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 09.08.1991,18:45,Wattenscheid 09,3:0,B. Leverkusen
Fr. 09.08.1991,20:00,Hamburger SV,2:0,Dynamo Dresden
Fr. 09.08.1991,20:00,Bor. M'gladbach,0:0,MSV Duisburg
Sa. 10.08.1991,15:30,VfB Stuttgart,1:0,Karlsruher SC
Sa. 10.08.1991,15:30,Bor. Dortmund,2:1,Werder Bremen
Sa. 10.08.1991,15:30,E. Frankfurt,5:0,FC Schalke 04
Sa. 10.08.1991,15:30,1.FC Köln,0:0,Stuttg. Kickers
Sa. 10.08.1991,15:30,1.FC K'lautern,1:1,VfL Bochum
Sa. 10.08.1991,15:30,1.FC Nürnberg,3:1,F. Düsseldorf
Sa. 10.08.1991,15:30,Bayern München,1:2,Hansa Rostock
