Datum,Uhrzeit,Heim,Ergebnis,Gast
Di. 28.04.1992,20:00,Werder Bremen,1:1,Hamburger SV
Di. 05.05.1992,19:30,MSV Duisburg,3:0,1.FC Nürnberg
Di. 05.05.1992,20:00,Bor. M'gladbach,0:1,VfB Stuttgart
Di. 05.05.1992,20:00,Wattenscheid 09,0:1,Bor. Dortmund
Di. 05.05.1992,20:00,Karlsruher SC,0:2,E. Frankfurt
Di. 05.05.1992,20:00,F. Düsseldorf,1:3,1.FC Köln
Di. 05.05.1992,20:00,Hansa Rostock,0:1,1.FC K'lautern
Di. 05.05.1992,20:00,B. Leverkusen,2:1,Bayern München
Di. 05.05.1992,20:00,FC Schalke 04,2:1,VfL Bochum
Di. 05.05.1992,20:00,Stuttg. Kickers,0:0,Dynamo Dresden
