Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 13.03.1992,20:00,1.FC Nürnberg,1:3,E. Frankfurt
Fr. 13.03.1992,20:00,Werder Bremen,1:3,Stuttg. Kickers
Fr. 13.03.1992,20:00,Bor. M'gladbach,1:2,VfL Bochum
Sa. 14.03.1992,15:30,VfB Stuttgart,1:0,1.FC Köln
Sa. 14.03.1992,15:30,Bor. Dortmund,3:1,1.FC K'lautern
Sa. 14.03.1992,15:30,B. Leverkusen,2:1,FC Schalke 04
Sa. 14.03.1992,15:30,Karlsruher SC,2:1,Hansa Rostock
Sa. 14.03.1992,15:30,Bayern München,2:0,Hamburger SV
Di. 17.03.1992,20:00,MSV Duisburg,2:2,F. Düsseldorf
Di. 31.03.1992,20:00,Wattenscheid 09,3:0,Dynamo Dresden
