Datum,Uhrzeit,Heim,Ergebnis,Gast
Sa. 16.05.1992,15:30,B. Leverkusen,1:2,VfB Stuttgart
Sa. 16.05.1992,15:30,MSV Duisburg,0:1,Bor. Dortmund
Sa. 16.05.1992,15:30,Hansa Rostock,2:1,E. Frankfurt
Sa. 16.05.1992,15:30,Dynamo Dresden,0:0,1.FC Köln
Sa. 16.05.1992,15:30,FC Schalke 04,2:0,1.FC K'lautern
Sa. 16.05.1992,15:30,Werder Bremen,1:3,1.FC Nürnberg
Sa. 16.05.1992,15:30,Karlsruher SC,3:0,Bayern München
Sa. 16.05.1992,15:30,F. Düsseldorf,1:0,Hamburger SV
Sa. 16.05.1992,15:30,Wattenscheid 09,3:2,Bor. M'gladbach
Sa. 16.05.1992,15:30,Stuttg. Kickers,2:0,VfL Bochum
