Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 10.04.1992,20:00,Bor. Dortmund,3:0,Bayern München
Fr. 10.04.1992,20:00,Hansa Rostock,2:0,FC Schalke 04
Fr. 10.04.1992,20:00,F. Düsseldorf,1:3,Stuttg. Kickers
Sa. 11.04.1992,15:30,VfB Stuttgart,2:0,1.FC Nürnberg
Sa. 11.04.1992,15:30,Bor. M'gladbach,1:1,E. Frankfurt
Sa. 11.04.1992,15:30,MSV Duisburg,1:3,1.FC Köln
Sa. 11.04.1992,15:30,B. Leverkusen,3:0,1.FC K'lautern
Sa. 11.04.1992,15:30,Karlsruher SC,1:1,VfL Bochum
Sa. 11.04.1992,15:30,Werder Bremen,2:0,Dynamo Dresden
Sa. 11.04.1992,15:30,Wattenscheid 09,1:1,Hamburger SV
