Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 01.05.1992,15:30,Bayern München,5:2,Wattenscheid 09
Fr. 01.05.1992,18:00,1.FC K'lautern,2:2,Werder Bremen
Fr. 01.05.1992,18:00,VfL Bochum,3:0,F. Düsseldorf
Fr. 01.05.1992,20:00,1.FC Nürnberg,1:0,B. Leverkusen
Sa. 02.05.1992,15:30,Stuttg. Kickers,1:3,VfB Stuttgart
Sa. 02.05.1992,15:30,Bor. Dortmund,2:2,Bor. M'gladbach
Sa. 02.05.1992,15:30,E. Frankfurt,3:0,MSV Duisburg
Sa. 02.05.1992,15:30,1.FC Köln,3:1,Hansa Rostock
Sa. 02.05.1992,15:30,Hamburger SV,0:1,Karlsruher SC
Sa. 02.05.1992,15:30,Dynamo Dresden,2:1,FC Schalke 04
