Datum,Uhrzeit,Heim,Ergebnis,Gast
Di. 20.08.1991,20:00,Bor. Dortmund,3:1,F. Düsseldorf
Di. 20.08.1991,20:00,1.FC Nürnberg,1:1,Dynamo Dresden
Di. 20.08.1991,20:00,Bor. M'gladbach,0:2,Werder Bremen
Di. 20.08.1991,20:00,Bayern München,3:2,FC Schalke 04
Mi. 21.08.1991,18:30,Wattenscheid 09,1:1,Karlsruher SC
Mi. 21.08.1991,20:00,E. Frankfurt,2:1,VfL Bochum
Mi. 21.08.1991,20:00,Hamburger SV,1:1,1.FC Köln
Mi. 21.08.1991,20:00,1.FC K'lautern,4:3,Stuttg. Kickers
Mi. 21.08.1991,20:00,B. Leverkusen,2:1,MSV Duisburg
Mi. 21.08.1991,21:00,VfB Stuttgart,3:0,Hansa Rostock
