Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 01.11.1991,19:30,MSV Duisburg,3:6,E. Frankfurt
Fr. 01.11.1991,20:00,Werder Bremen,0:2,1.FC K'lautern
Fr. 01.11.1991,20:00,Wattenscheid 09,0:0,Bayern München
Sa. 02.11.1991,15:30,VfB Stuttgart,3:1,Stuttg. Kickers
Sa. 02.11.1991,15:30,Bor. M'gladbach,1:1,Bor. Dortmund
Sa. 02.11.1991,15:30,Hansa Rostock,1:1,1.FC Köln
Sa. 02.11.1991,15:30,B. Leverkusen,0:1,1.FC Nürnberg
Sa. 02.11.1991,15:30,Karlsruher SC,4:1,Hamburger SV
Sa. 02.11.1991,15:30,FC Schalke 04,1:1,Dynamo Dresden
Sa. 02.11.1991,15:30,F. Düsseldorf,3:0,VfL Bochum
