Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 13.09.1991,20:00,Hansa Rostock,1:2,Karlsruher SC
Fr. 13.09.1991,20:00,VfL Bochum,3:1,Bor. M'gladbach
Fr. 13.09.1991,20:00,F. Düsseldorf,1:1,MSV Duisburg
Sa. 14.09.1991,15:30,1.FC Köln,1:1,VfB Stuttgart
Sa. 14.09.1991,15:30,1.FC K'lautern,4:0,Bor. Dortmund
Sa. 14.09.1991,15:30,FC Schalke 04,0:0,B. Leverkusen
Sa. 14.09.1991,15:30,Stuttg. Kickers,2:1,Werder Bremen
Sa. 14.09.1991,15:30,Hamburger SV,1:0,Bayern München
Sa. 14.09.1991,15:30,Dynamo Dresden,3:0,Wattenscheid 09
So. 15.09.1991,20:30,E. Frankfurt,2:2,1.FC Nürnberg
