Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 30.08.1991,20:00,Werder Bremen,5:1,MSV Duisburg
Fr. 30.08.1991,20:00,FC Schalke 04,3:1,Bor. M'gladbach
Fr. 30.08.1991,20:00,F. Düsseldorf,4:3,Wattenscheid 09
Sa. 31.08.1991,15:30,Dynamo Dresden,1:0,VfB Stuttgart
Sa. 31.08.1991,15:30,VfL Bochum,0:0,Bor. Dortmund
Sa. 31.08.1991,15:30,Hamburger SV,2:1,E. Frankfurt
Sa. 31.08.1991,15:30,1.FC Köln,1:1,Bayern München
Sa. 31.08.1991,15:30,1.FC K'lautern,3:0,1.FC Nürnberg
Sa. 31.08.1991,15:30,Hansa Rostock,2:2,B. Leverkusen
Sa. 31.08.1991,15:30,Stuttg. Kickers,1:1,Karlsruher SC
