Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 24.04.1992,20:00,Wattenscheid 09,1:1,1.FC Nürnberg
Fr. 24.04.1992,20:00,F. Düsseldorf,1:3,Dynamo Dresden
Fr. 24.04.1992,20:00,Hansa Rostock,0:2,VfL Bochum
Sa. 25.04.1992,15:30,VfB Stuttgart,4:2,Bor. Dortmund
Sa. 25.04.1992,15:30,B. Leverkusen,1:3,E. Frankfurt
Sa. 25.04.1992,15:30,Werder Bremen,1:3,1.FC Köln
Sa. 25.04.1992,15:30,Karlsruher SC,2:1,1.FC K'lautern
Sa. 25.04.1992,15:30,Bor. M'gladbach,1:1,Bayern München
Sa. 25.04.1992,15:30,FC Schalke 04,1:2,Stuttg. Kickers
Sa. 25.04.1992,15:30,MSV Duisburg,0:1,Hamburger SV
