Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 08.11.1991,20:00,Bor. Dortmund,1:1,Wattenscheid 09
Fr. 08.11.1991,20:00,1.FC Nürnberg,1:1,MSV Duisburg
Sa. 09.11.1991,15:30,VfB Stuttgart,0:1,Bor. M'gladbach
Sa. 09.11.1991,15:30,E. Frankfurt,1:1,Karlsruher SC
Sa. 09.11.1991,15:30,1.FC Köln,4:1,F. Düsseldorf
Sa. 09.11.1991,15:30,1.FC K'lautern,3:0,Hansa Rostock
Sa. 09.11.1991,15:30,Bayern München,2:2,B. Leverkusen
Sa. 09.11.1991,15:30,VfL Bochum,1:0,FC Schalke 04
Sa. 09.11.1991,15:30,Dynamo Dresden,2:2,Stuttg. Kickers
So. 10.11.1991,19:00,Hamburger SV,0:1,Werder Bremen
