Datum,Uhrzeit,Heim,Ergebnis,Gast
Di. 13.08.1991,19:30,MSV Duisburg,0:0,Wattenscheid 09
Di. 13.08.1991,20:00,Dynamo Dresden,2:1,E. Frankfurt
Di. 13.08.1991,20:00,Karlsruher SC,2:0,Bor. M'gladbach
Di. 13.08.1991,20:00,VfL Bochum,2:3,Hamburger SV
Mi. 14.08.1991,20:00,Werder Bremen,1:1,VfB Stuttgart
Mi. 14.08.1991,20:00,Hansa Rostock,5:1,Bor. Dortmund
Mi. 14.08.1991,20:00,1.FC Köln,1:1,1.FC K'lautern
Mi. 14.08.1991,20:00,Stuttg. Kickers,0:1,B. Leverkusen
Mi. 14.08.1991,20:00,FC Schalke 04,1:0,1.FC Nürnberg
Mi. 14.08.1991,20:00,F. Düsseldorf,0:1,Bayern München
