Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 22.11.1991,20:00,Bor. M'gladbach,1:0,Wattenscheid 09
Fr. 22.11.1991,20:00,VfL Bochum,2:2,Stuttg. Kickers
Sa. 23.11.1991,15:30,VfB Stuttgart,2:0,B. Leverkusen
Sa. 23.11.1991,15:30,Bor. Dortmund,2:1,MSV Duisburg
Sa. 23.11.1991,15:30,E. Frankfurt,2:0,Hansa Rostock
Sa. 23.11.1991,15:30,1.FC K'lautern,1:1,FC Schalke 04
Sa. 23.11.1991,15:30,1.FC Nürnberg,1:0,Werder Bremen
Sa. 23.11.1991,15:30,Bayern München,1:0,Karlsruher SC
Sa. 23.11.1991,15:30,Hamburger SV,1:1,F. Düsseldorf
Di. 10.12.1991,20:00,1.FC Köln,1:1,Dynamo Dresden
