Datum,Uhrzeit,Heim,Ergebnis,Gast
Sa. 09.05.1992,15:30,VfB Stuttgart,1:1,Wattenscheid 09
Sa. 09.05.1992,15:30,Bor. Dortmund,3:1,B. Leverkusen
Sa. 09.05.1992,15:30,E. Frankfurt,2:2,Werder Bremen
Sa. 09.05.1992,15:30,1.FC Köln,3:0,FC Schalke 04
Sa. 09.05.1992,15:30,1.FC K'lautern,2:0,F. Düsseldorf
Sa. 09.05.1992,15:30,1.FC Nürnberg,1:2,Karlsruher SC
Sa. 09.05.1992,15:30,Bayern München,4:2,MSV Duisburg
Sa. 09.05.1992,15:30,Hamburger SV,1:0,Hansa Rostock
Sa. 09.05.1992,15:30,Bor. M'gladbach,2:1,Stuttg. Kickers
Sa. 09.05.1992,15:30,VfL Bochum,1:0,Dynamo Dresden
