Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 29.11.1991,20:00,Bor. Dortmund,1:0,Karlsruher SC
Fr. 29.11.1991,20:00,Bor. M'gladbach,2:2,B. Leverkusen
Fr. 29.11.1991,20:00,Wattenscheid 09,4:1,Stuttg. Kickers
Sa. 30.11.1991,15:30,VfB Stuttgart,2:0,MSV Duisburg
Sa. 30.11.1991,15:30,E. Frankfurt,1:1,F. Düsseldorf
Sa. 30.11.1991,15:30,1.FC Köln,1:0,VfL Bochum
Sa. 30.11.1991,15:30,1.FC K'lautern,4:1,Dynamo Dresden
Sa. 30.11.1991,15:30,1.FC Nürnberg,0:0,Hansa Rostock
Sa. 30.11.1991,15:30,Bayern München,3:4,Werder Bremen
Sa. 30.11.1991,15:30,Hamburger SV,2:1,FC Schalke 04
