Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 02.08.1991,19:30,MSV Duisburg,1:0,VfB Stuttgart
Fr. 02.08.1991,20:00,VfL Bochum,2:2,1.FC Köln
Fr. 02.08.1991,20:00,B. Leverkusen,1:0,Bor. M'gladbach
Sa. 03.08.1991,15:30,Karlsruher SC,2:2,Bor. Dortmund
Sa. 03.08.1991,15:30,F. Düsseldorf,1:2,E. Frankfurt
Sa. 03.08.1991,15:30,Dynamo Dresden,0:1,1.FC K'lautern
Sa. 03.08.1991,15:30,Hansa Rostock,4:0,1.FC Nürnberg
Sa. 03.08.1991,15:30,Werder Bremen,1:1,Bayern München
Sa. 03.08.1991,15:30,FC Schalke 04,0:0,Hamburger SV
Sa. 03.08.1991,15:30,Stuttg. Kickers,3:0,Wattenscheid 09
