Datum,Uhrzeit,Heim,Ergebnis,Gast
Do. 16.04.1992,19:30,Stuttg. Kickers,0:1,Bor. Dortmund
Do. 16.04.1992,20:00,Dynamo Dresden,2:1,Hansa Rostock
Sa. 18.04.1992,15:30,Bayern München,1:0,VfB Stuttgart
Sa. 18.04.1992,15:30,E. Frankfurt,1:1,Wattenscheid 09
Sa. 18.04.1992,15:30,1.FC Köln,2:3,Karlsruher SC
Sa. 18.04.1992,15:30,1.FC K'lautern,2:1,MSV Duisburg
Sa. 18.04.1992,15:30,Hamburger SV,1:1,B. Leverkusen
Sa. 18.04.1992,15:30,1.FC Nürnberg,2:1,Bor. M'gladbach
Sa. 18.04.1992,15:30,VfL Bochum,2:2,Werder Bremen
Sa. 18.04.1992,15:30,FC Schalke 04,0:0,F. Düsseldorf
