Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 25.10.1991,20:00,1.FC Nürnberg,3:1,Wattenscheid 09
Fr. 25.10.1991,20:00,Dynamo Dresden,2:0,F. Düsseldorf
Fr. 25.10.1991,20:00,VfL Bochum,3:2,Hansa Rostock
Sa. 26.10.1991,15:30,Bor. Dortmund,0:0,VfB Stuttgart
Sa. 26.10.1991,15:30,E. Frankfurt,0:1,B. Leverkusen
Sa. 26.10.1991,15:30,1.FC Köln,5:0,Werder Bremen
Sa. 26.10.1991,15:30,1.FC K'lautern,3:0,Karlsruher SC
Sa. 26.10.1991,15:30,Bayern München,3:0,Bor. M'gladbach
Sa. 26.10.1991,15:30,Stuttg. Kickers,1:1,FC Schalke 04
Sa. 26.10.1991,15:30,Hamburger SV,1:1,MSV Duisburg
