Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 23.08.1991,20:00,Dynamo Dresden,0:2,Bayern München
Sa. 24.08.1991,15:30,F. Düsseldorf,0:3,VfB Stuttgart
Sa. 24.08.1991,15:30,FC Schalke 04,5:2,Bor. Dortmund
Sa. 24.08.1991,15:30,1.FC Köln,1:1,E. Frankfurt
Sa. 24.08.1991,15:30,1.FC K'lautern,0:0,Hamburger SV
Sa. 24.08.1991,15:30,Karlsruher SC,0:0,B. Leverkusen
Sa. 24.08.1991,15:30,Werder Bremen,2:2,Wattenscheid 09
Sa. 24.08.1991,15:30,Hansa Rostock,2:1,Bor. M'gladbach
So. 25.08.1991,18:00,VfL Bochum,0:3,1.FC Nürnberg
Mi. 09.10.1991,20:00,Stuttg. Kickers,0:1,MSV Duisburg
