Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 28.02.1992,19:30,MSV Duisburg,0:0,Werder Bremen
Fr. 28.02.1992,20:00,B. Leverkusen,3:0,Hansa Rostock
Fr. 28.02.1992,20:00,Wattenscheid 09,4:1,F. Düsseldorf
Sa. 29.02.1992,15:30,VfB Stuttgart,1:1,Dynamo Dresden
Sa. 29.02.1992,15:30,Bor. Dortmund,1:1,VfL Bochum
Sa. 29.02.1992,15:30,E. Frankfurt,2:1,Hamburger SV
Sa. 29.02.1992,15:30,Bayern München,0:0,1.FC Köln
Sa. 29.02.1992,15:30,1.FC Nürnberg,3:2,1.FC K'lautern
Sa. 29.02.1992,15:30,Karlsruher SC,3:1,Stuttg. Kickers
Sa. 29.02.1992,15:30,Bor. M'gladbach,1:1,FC Schalke 04
