Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 20.03.1992,20:00,Hamburger SV,1:1,Bor. Dortmund
Fr. 20.03.1992,20:00,Dynamo Dresden,1:0,B. Leverkusen
Fr. 20.03.1992,20:00,VfL Bochum,1:1,Wattenscheid 09
Sa. 21.03.1992,15:30,1.FC K'lautern,0:0,VfB Stuttgart
Sa. 21.03.1992,15:30,E. Frankfurt,3:2,Bayern München
Sa. 21.03.1992,15:30,1.FC Köln,1:1,Bor. M'gladbach
Sa. 21.03.1992,15:30,Stuttg. Kickers,3:1,1.FC Nürnberg
Sa. 21.03.1992,15:30,F. Düsseldorf,2:3,Karlsruher SC
Sa. 21.03.1992,15:30,Hansa Rostock,0:0,Werder Bremen
Sa. 21.03.1992,15:30,FC Schalke 04,3:0,MSV Duisburg
