Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 20.09.1991,20:00,Bor. M'gladbach,2:2,1.FC Köln
Fr. 20.09.1991,20:00,Karlsruher SC,1:5,F. Düsseldorf
Fr. 20.09.1991,20:00,Wattenscheid 09,1:2,VfL Bochum
Sa. 21.09.1991,15:30,VfB Stuttgart,4:1,1.FC K'lautern
Sa. 21.09.1991,15:30,Bor. Dortmund,2:2,Hamburger SV
Sa. 21.09.1991,15:30,Bayern München,3:3,E. Frankfurt
Sa. 21.09.1991,15:30,B. Leverkusen,4:0,Dynamo Dresden
Sa. 21.09.1991,15:30,1.FC Nürnberg,2:0,Stuttg. Kickers
Sa. 21.09.1991,15:30,Werder Bremen,1:0,Hansa Rostock
So. 22.09.1991,18:00,MSV Duisburg,2:0,FC Schalke 04
