Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 13.12.1991,19:00,Hamburger SV,0:0,VfL Bochum
Fr. 13.12.1991,20:00,Bor. Dortmund,4:1,Hansa Rostock
Fr. 13.12.1991,20:00,Bor. M'gladbach,1:0,Karlsruher SC
Sa. 14.12.1991,15:30,VfB Stuttgart,1:1,Werder Bremen
Sa. 14.12.1991,15:30,E. Frankfurt,3:0,Dynamo Dresden
Sa. 14.12.1991,15:30,1.FC K'lautern,2:1,1.FC Köln
Sa. 14.12.1991,15:30,B. Leverkusen,3:1,Stuttg. Kickers
Sa. 14.12.1991,15:30,1.FC Nürnberg,0:1,FC Schalke 04
Sa. 14.12.1991,15:30,Bayern München,3:1,F. Düsseldorf
Sa. 14.12.1991,15:30,Wattenscheid 09,2:0,MSV Duisburg
