Datum,Uhrzeit,Heim,Ergebnis,Gast
Di. 27.08.1991,18:30,Wattenscheid 09,0:0,Hansa Rostock
Di. 27.08.1991,19:30,MSV Duisburg,6:2,Karlsruher SC
Di. 27.08.1991,20:00,VfB Stuttgart,1:0,FC Schalke 04
Di. 27.08.1991,20:00,B. Leverkusen,0:0,Werder Bremen
Di. 27.08.1991,20:00,Bor. M'gladbach,3:1,F. Düsseldorf
Mi. 28.08.1991,20:00,Bor. Dortmund,4:0,Dynamo Dresden
Mi. 28.08.1991,20:00,E. Frankfurt,2:0,1.FC K'lautern
Mi. 28.08.1991,20:00,1.FC Nürnberg,4:0,1.FC Köln
Mi. 28.08.1991,20:00,Bayern München,0:2,VfL Bochum
Mi. 28.08.1991,20:00,Hamburger SV,0:3,Stuttg. Kickers
