Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 18.10.1991,19:30,MSV Duisburg,1:1,1.FC K'lautern
Fr. 18.10.1991,20:00,Bor. M'gladbach,1:0,1.FC Nürnberg
Fr. 18.10.1991,20:00,Werder Bremen,3:0,VfL Bochum
Sa. 19.10.1991,15:30,VfB Stuttgart,3:2,Bayern München
Sa. 19.10.1991,15:30,Wattenscheid 09,2:4,E. Frankfurt
Sa. 19.10.1991,15:30,Karlsruher SC,0:1,1.FC Köln
Sa. 19.10.1991,15:30,B. Leverkusen,1:1,Hamburger SV
Sa. 19.10.1991,15:30,F. Düsseldorf,1:1,FC Schalke 04
Sa. 19.10.1991,15:30,Hansa Rostock,3:0,Dynamo Dresden
So. 20.10.1991,18:00,Bor. Dortmund,3:1,Stuttg. Kickers
