Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 27.09.1991,20:00,1.FC Köln,1:1,Wattenscheid 09
Fr. 27.09.1991,20:00,VfL Bochum,0:2,B. Leverkusen
Fr. 27.09.1991,20:00,1.FC Nürnberg,1:1,Bayern München
Sa. 28.09.1991,15:30,Hamburger SV,1:1,VfB Stuttgart
Sa. 28.09.1991,15:30,E. Frankfurt,3:0,Bor. Dortmund
Sa. 28.09.1991,15:30,1.FC K'lautern,4:2,Bor. M'gladbach
Sa. 28.09.1991,15:30,FC Schalke 04,3:1,Karlsruher SC
Sa. 28.09.1991,15:30,F. Düsseldorf,0:0,Werder Bremen
Sa. 28.09.1991,15:30,Dynamo Dresden,0:0,MSV Duisburg
Sa. 28.09.1991,15:30,Stuttg. Kickers,1:1,Hansa Rostock
