Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 06.09.1991,20:00,Bor. Dortmund,3:1,1.FC Köln
Fr. 06.09.1991,20:00,E. Frankfurt,6:1,Stuttg. Kickers
Sa. 07.09.1991,15:30,VfB Stuttgart,4:1,VfL Bochum
Sa. 07.09.1991,15:30,Bayern München,1:0,1.FC K'lautern
Sa. 07.09.1991,15:30,B. Leverkusen,1:1,F. Düsseldorf
Sa. 07.09.1991,15:30,1.FC Nürnberg,1:1,Hamburger SV
Sa. 07.09.1991,15:30,Karlsruher SC,2:1,Werder Bremen
Sa. 07.09.1991,15:30,Wattenscheid 09,1:2,FC Schalke 04
Sa. 07.09.1991,15:30,Bor. M'gladbach,1:0,Dynamo Dresden
So. 08.09.1991,18:00,MSV Duisburg,2:0,Hansa Rostock
