Datum,Uhrzeit,Heim,Ergebnis,Gast
Do. 20.02.1992,19:15,VfL Bochum,0:5,Bayern München
Fr. 21.02.1992,20:00,Werder Bremen,1:1,B. Leverkusen
Fr. 21.02.1992,20:00,Karlsruher SC,2:2,MSV Duisburg
Sa. 22.02.1992,15:30,FC Schalke 04,0:1,VfB Stuttgart
Sa. 22.02.1992,15:30,Dynamo Dresden,0:0,Bor. Dortmund
Sa. 22.02.1992,15:30,1.FC K'lautern,1:1,E. Frankfurt
Sa. 22.02.1992,15:30,1.FC Köln,4:0,1.FC Nürnberg
Sa. 22.02.1992,15:30,Stuttg. Kickers,1:1,Hamburger SV
Sa. 22.02.1992,15:30,F. Düsseldorf,1:1,Bor. M'gladbach
Sa. 22.02.1992,15:30,Hansa Rostock,1:1,Wattenscheid 09
