Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 14.02.1992,19:30,MSV Duisburg,1:1,Stuttg. Kickers
Fr. 14.02.1992,20:00,1.FC Nürnberg,1:0,VfL Bochum
Fr. 14.02.1992,20:00,Wattenscheid 09,0:1,Werder Bremen
Sa. 15.02.1992,15:30,VfB Stuttgart,3:1,F. Düsseldorf
Sa. 15.02.1992,15:30,Bor. Dortmund,2:0,FC Schalke 04
Sa. 15.02.1992,15:30,E. Frankfurt,1:2,1.FC Köln
Sa. 15.02.1992,15:30,B. Leverkusen,2:0,Karlsruher SC
Sa. 15.02.1992,15:30,Bayern München,1:2,Dynamo Dresden
Sa. 15.02.1992,15:30,Bor. M'gladbach,1:1,Hansa Rostock
So. 16.02.1992,19:00,Hamburger SV,0:1,1.FC K'lautern
