Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 27.03.1992,19:30,MSV Duisburg,3:0,Dynamo Dresden
Fr. 27.03.1992,20:00,Wattenscheid 09,1:2,1.FC Köln
Fr. 27.03.1992,20:00,Werder Bremen,2:1,F. Düsseldorf
Sa. 28.03.1992,15:30,VfB Stuttgart,3:2,Hamburger SV
Sa. 28.03.1992,15:30,Bor. Dortmund,2:2,E. Frankfurt
Sa. 28.03.1992,15:30,Bor. M'gladbach,1:0,1.FC K'lautern
Sa. 28.03.1992,15:30,B. Leverkusen,2:0,VfL Bochum
Sa. 28.03.1992,15:30,Bayern München,1:3,1.FC Nürnberg
Sa. 28.03.1992,15:30,Karlsruher SC,1:0,FC Schalke 04
Sa. 28.03.1992,15:30,Hansa Rostock,2:2,Stuttg. Kickers
