Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 04.10.1991,19:30,MSV Duisburg,1:1,VfL Bochum
Fr. 04.10.1991,20:00,Bor. Dortmund,3:2,1.FC Nürnberg
Fr. 04.10.1991,20:00,Karlsruher SC,1:0,Dynamo Dresden
Sa. 05.10.1991,15:30,VfB Stuttgart,1:2,E. Frankfurt
Sa. 05.10.1991,15:30,B. Leverkusen,1:1,1.FC Köln
Sa. 05.10.1991,15:30,Wattenscheid 09,1:0,1.FC K'lautern
Sa. 05.10.1991,15:30,Werder Bremen,2:1,FC Schalke 04
Sa. 05.10.1991,15:30,Bayern München,1:4,Stuttg. Kickers
Sa. 05.10.1991,15:30,Bor. M'gladbach,1:0,Hamburger SV
Sa. 05.10.1991,15:30,Hansa Rostock,3:1,F. Düsseldorf
