Datum,Uhrzeit,Heim,Ergebnis,Gast
Fr. 06.03.1992,20:00,FC Schalke 04,1:1,Wattenscheid 09
Fr. 06.03.1992,20:00,Dynamo Dresden,1:2,Bor. M'gladbach
Fr. 06.03.1992,20:00,Hansa Rostock,0:0,MSV Duisburg
Sa. 07.03.1992,15:30,VfL Bochum,0:2,VfB Stuttgart
Sa. 07.03.1992,15:30,1.FC Köln,1:2,Bor. Dortmund
Sa. 07.03.1992,15:30,Stuttg. Kickers,0:2,E. Frankfurt
Sa. 07.03.1992,15:30,1.FC K'lautern,4:0,Bayern München
Sa. 07.03.1992,15:30,F. Düsseldorf,1:1,B. Leverkusen
Sa. 07.03.1992,15:30,Werder Bremen,0:0,Karlsruher SC
So. 08.03.1992,19:00,Hamburger SV,0:2,1.FC Nürnberg
