Datum,Uhrzeit,Heim,Ergebnis,Gast
Do. 05.12.1991,20:00,FC Schalke 04,1:1,E. Frankfurt
Fr. 06.12.1991,20:00,Werder Bremen,0:1,Bor. Dortmund
Fr. 06.12.1991,20:00,F. Düsseldorf,1:2,1.FC Nürnberg
Sa. 07.12.1991,15:30,Karlsruher SC,0:0,VfB Stuttgart
Sa. 07.12.1991,15:30,Stuttg. Kickers,0:3,1.FC Köln
Sa. 07.12.1991,15:30,VfL Bochum,0:0,1.FC K'lautern
Sa. 07.12.1991,15:30,B. Leverkusen,6:1,Wattenscheid 09
Sa. 07.12.1991,15:30,Hansa Rostock,2:1,Bayern München
Sa. 07.12.1991,15:30,Dynamo Dresden,3:0,Hamburger SV
So. 08.12.1991,18:00,MSV Duisburg,1:1,Bor. M'gladbach
