Datum,Uhrzeit,Heim,Ergebnis,Gast
Sa. 01.08.1981,15:00,FC Schalke 04,3:1,1860 München
Sa. 01.08.1981,15:00,Hannover 96,2:0,SC Freiburg
Sa. 01.08.1981,15:00,Union Solingen,1:1,Wattenscheid 09
Sa. 01.08.1981,15:00,Freiburger FC,2:0,Bayer 05
Sa. 01.08.1981,15:00,SpVgg Fürth,2:0,Hertha BSC
Sa. 01.08.1981,15:00,SpVgg Bayreuth,0:0,Hessen Kassel
Sa. 01.08.1981,15:00,W. Mannheim,1:1,RW Essen
Sa. 01.08.1981,15:00,Alem. Aachen,1:1,Stuttg. Kickers
Sa. 01.08.1981,15:00,Wormatia Worms,0:1,Fortuna Köln
Di. 18.08.1981,19:00,VfL Osnabrück,1:2,K. Offenbach
