Datum,Uhrzeit,Heim,Ergebnis,Gast
Sa. 06.02.1982,15:00,Alem. Aachen,6:3,K. Offenbach
Sa. 06.02.1982,15:00,Union Solingen,0:1,VfL Osnabrück
Sa. 06.02.1982,15:00,W. Mannheim,1:0,Wattenscheid 09
Sa. 06.02.1982,15:00,SpVgg Bayreuth,0:2,Bayer 05
Sa. 06.02.1982,15:00,SpVgg Fürth,8:1,Hessen Kassel
Sa. 06.02.1982,15:00,FC Schalke 04,2:2,Fortuna Köln
Sa. 06.02.1982,15:00,Freiburger FC,1:5,1860 München
Sa. 06.02.1982,15:00,Hannover 96,1:0,Stuttg. Kickers
Sa. 06.02.1982,15:00,Wormatia Worms,2:1,RW Essen
Fr. 30.04.1982,19:00,Hertha BSC,2:1,SC Freiburg
